MOVIE_ID,MOVIE_TITLE,MOVIE_CAST,MOVIE_RELEASE_YEAR
217,Nirbhay,,1996
218,Papa Kehte Hai,,1996
219,Papi Gudia,,1996
220,Prem Granth,,1996
221,Raja Aur Rangeeli,,1996
222,Raja Hindustani,,1996
223,Raja Ki Aayegi Baraat,,1996
224,Rajkumar,,1996
225,Rakshak,,1996
226,Ram Aur Shyam,,1996
227,Rangbaaz,,1996
228,Return of Jewel Thief,,1996
229,Saajan Chale Sasural,,1996
230,Sanshodhan,,1996
231,Sapoot,,1996
232,Sardari Begum,,1996
233,Shastra,,1996
234,Shikaar,,1996
235,Shohrat,,1996
236,Smuggler,,1996
237,Spot Boy,,1996
238,Talaashi,,1996
239,Tere Mere Sapne,,1996
240,The Making of the Mahatma,,1996
241,The Square Circle,,1996
242,Tu Chor Main Sipahi,,1996
243,Vijeta,,1996
244,Vishwasghaat,,1996
245,Yaaron Ka Yaar,,1996
246,Yash,,1996
247,Zordaar,,1996
248,Dilwale,,1994
249,Dilwale Dulhania Le Jayenge,,1995
250,Karan Arjun,,1995
251,Raja,,1995
252,Barsaat,,1995
253,Rangeela,,1995
254,Coolie No. 1,,1995
255,Sabse Bada Khiladi,,1995
256,Trimurti,,1995
257,Ram Jaane,,1995
258,Akele Hum Akele Tum,,1995
259,Brahmastra: Part One – Shiva,,2022
260,The Kashmir Files,,2022
261,Bhool Bhulaiyaa 2,,2022
262,Gangubai Kathiawadi,,2022
263,Radhe Shyam,,2022
264,Jugjugg Jeeyo,,2022
265,Laal Singh Chaddha,,2022
266,Vikram Vedha,,2022
267,Samrat Prithviraj,,2022
268,Liger,,2022
269,Sooryavanshi,,2021
270,83,,2021
271,Antim: The Final Truth,,2021
272,Bell Bottom,,2021
273,Chandigarh Kare Aashiqui,,2021
274,Tadap,,2021
275,Roohi,,2021
276,Mumbai Saga,,2021
277,Bunty Aur Babli 2,,2021
278,Radhe,,2021
279,Shershaah,,2021
280,Sardar Udham,,2021
281,Atrangi Re,,2021
282,Haseen Dillruba,,2021
283,Pathaan,,2023
284,Jawan,,2023
285,Animal,,2023
286,Dunki,,2023
287,Tiger 3,,2023
288,Gadar 2,,2023
289,Adipurush,,2023
290,Rocky Aur Rani Kii Prem Kahaani,,2023
291,Zara Hatke Zara Bachke,,2023
292,OMG 2,,2023
293,Kisi Ka Bhai Kisi Ki Jaan,,2023
294,Tu Jhoothi Main Makkaar,,2023
295,Bholaa,,2023
296,Selfiee,,2023
297,Shehzada,,2023
298,Stree 2,,2024
299,Fighter,,2024
300,Kalki 2898 AD,,2024
301,Pushpa: The Rule,,2024
302,Singham Again,,2024
303,Merry Christmas,,2024
304,Teri Baaton Mein Aisa Uljha Jiya,,2024
305,Crew,,2024
306,Maidaan,,2024
307,Bade Miyan Chote Miyan,,2024
308,Auron Mein Kahan Dum Tha,,2024
309,Vedaa,,2024
310,Khel Khel Mein,,2024
311,Devara: Part 1,,2024
312,Vicky Vidya Ka Woh Wala Video,,2024
313,Bhool Bhulaiyaa 3,,2024
314,The Sabarmati Report,,2024
315,Yodha,,2024
316,Razakar,,2024
317,Skyforce,,2025
318,Emergency,,2025
319,Chhava,,2025
320,Sikandar,,2025
321,Kesari Chapter 2,,2025
322,War 2,,2025
323,Housefull 5,,2025
324,Jolly LLB 3,,2025
325,Welcome 3,,2025
326,Deva,,2025
327,Azaad,,2025
328,Mere Husband Ki Biwi,,2025
329,Main Atal Hoon,,2024
330,Laapataa Ladies,,2024
331,Do Aur Do Pyaar,,2024
332,Chandu Champion,,2024
333,Kill,,2024
334,Ulajh,,2024
335,Kanguva,,2024
336,The Buckingham Murders,,2024
337,Tum Bin 2,,2016
338,Sultan,,2016
339,Rustom,,2016
340,M.S. Dhoni: The Untold Story,,2016
341,Ae Dil Hai Mushkil,,2016
342,Dangal,,2016
343,Raees,,2017
344,Jolly LLB 2,,2017
345,Badrinath Ki Dulhania,,2017
346,Toilet: Ek Prem Katha,,2017
347,Tiger Zinda Hai,,2017
348,Judwaa 2,,2017
349,Golmaal Again,,2017
350,Secret Superstar,,2017
351,3 Idiots,,2009
352,Kaminey,,2009
353,De Dana Dan,,2009
354,Wanted,,2009
355,Ajab Prem Ki Ghazab Kahani,,2009
356,Love Aaj Kal,,2009
357,Main Tera Hero,,2014
358,Ek Villain,,2014
359,Bang Bang,,2014
360,PK,,2014
361,Happy New Year,,2014
362,Haider,,2014
363,Queen,,2014
364,2 States,,2014
365,Kick,,2014
366,Dabangg,,2010
367,Golmaal 3,,2010
368,Housefull,,2010
369,Once Upon a Time in Mumbaai,,2010
370,Anjaana Anjaani,,2010
371,Raajneeti,,2010
372,Kites,,2010
373,Ishqiya,,2010
374,My Name Is Khan,,2010
375,Peepli Live,,2010
376,Mughal-E-Azam,,1960
377,Sholay,,1975
378,Deewar,,1975
379,Zanjeer,,1973
380,Don,,1978
381,Hum Aapke Hain Koun!,,1994
382,Kuch Kuch Hota Hai,,1998
383,Dil To Pagal Hai,,1997
384,Mohabbatein,,2000
385,Kabhi Khushi Kabhie Gham,,2001
386,Devdas,,2002
387,Kal Ho Naa Ho,,2003
388,Veer-Zaara,,2004
389,Bunty Aur Babli,,2005
390,Rang De Basanti,,2006
391,Omkara,,2006
392,Taare Zameen Par,,2007
393,Chak De! India,,2007
394,Jab We Met,,2007
395,Jodhaa Akbar,,2008
396,Ghajini,,2008
397,Rab Ne Bana Di Jodi,,2008
398,Rock On!!,,2008
399,Singh Is Kinng,,2008
400,Fashion,,2008
